Unit_No,SN,CP0,CP1,CP2,CP3,CP4,CP5,CP6,CP7
214,FVFHSF0003A0001JYP,Y,N,N,N,N,N,N,N
245,FVFHSL0005P0001JYP,Y,N,N,N,N,N,N,N
246,FVFHSL000690001JYP,Y,N,N,N,N,N,N,N
21,FVFHSA0006U0001JYP,Y,N,N,N,N,N,N,
52,FVFHSL000590001JYP,Y,N,N,N,N,N,N,
53,FVFHSL0004M0001JYP,Y,N,N,N,N,N,N,
83,FVFHSL000440001JYP,Y,N,N,N,N,N,N,
85,FVFHSL0003Z0001JYP,Y,N,N,N,N,N,N,
109,FVFHSF0001C0001JYP,Y,N,N,N,N,N,N,
110,FVFHSF0001E0001JYP,Y,N,N,N,N,N,N,
129,FVFHSF0003P0001JYP,Y,N,N,N,N,N,N,
130,FVFHSF0003W0001JYP,Y,N,N,N,N,N,N,
160,FVFHSF0004R0001JYP,Y,N,N,N,N,N,N,
161,FVFHSF0004Q0001JYP,Y,N,N,N,N,N,N,
163,FVFHSF0004K0001JYP,Y,N,N,N,N,N,N,
181,FVFHSF0002L0001JYP,Y,N,N,N,N,N,N,
182,FVFHSF0002U0001JYP,Y,N,N,N,N,N,N,
215,FVFHSF0003C0001JYP,Y,N,N,N,N,N,N,
216,FVFHSF0003H0001JYP,Y,N,N,N,N,N,N,
247,FVFHSL0005U0001JYP,Y,N,N,N,N,N,N,
248,FVFHSL0005Q0001JYP,Y,N,N,N,N,N,N,
57,FVFHSL0004R0001JYP,Y,N,N,N,N,N,,
58,FVFHSL0004V0001JYP,Y,N,N,N,N,N,,
97,FVFHSL000490001JYP,Y,N,N,N,N,N,,
143,FVFHSF0003K0001JYP,Y,N,N,N,N,N,,
144,FVFHSF0003U0001JYP,Y,N,N,N,N,N,,
162,FVFHSF0004Z0001JYP,Y,N,N,N,N,N,,
176,FVFHSF0004D0001JYP,Y,N,N,N,N,N,,
177,FVFHSF0004L0001JYP,Y,N,N,N,N,N,,
206,FVFHSF0001G0001JYP,Y,N,N,N,N,N,,
207,FVFHSF0001Q0001JYP,Y,N,N,N,N,N,,
227,FVFHSF000120001JYP,Y,N,N,N,N,N,,
249,FVFHSL000640001JYP,Y,N,N,N,N,N,,
60,FVFHSL000580001JYP,Y,N,N,N,N,,,
63,FVFHSL000540001JYP,Y,N,N,N,N,,,
98,FVFHSL000430001JYP,Y,N,N,N,N,,,
145,FVFHSF0003X0001JYP,Y,N,N,N,N,,,
146,FVFHSF000440001JYP,Y,N,N,N,N,,,
208,FVFHSF000200001JYP,Y,N,N,N,N,,,
209,FVFHSF0001F0001JYP,Y,N,N,N,N,,,
228,FVFHSF000110001JYP,Y,N,N,N,N,,,
39,FVFHSL0005B0001JYP,Y,N,N,N,N,N,N,N
40,FVFHSL0005D0001JYP,Y,N,N,N,N,N,N,N
164,FVFHSF000490001JYP,Y,N,N,N,N,N,N,N
165,FVFHSF0004N0001JYP,Y,N,N,N,N,N,N,N
166,FVFHSF0004C0001JYP,Y,N,N,N,N,N,N,N
167,FVFHSF0004B0001JYP,Y,N,N,N,N,N,N,N
217,FVFHSF0003E0001JYP,Y,N,N,N,N,N,N,N
