Unit_No,SN,CP0,CP1,CP2,CP3,CP4,CP5,CP6,CP7
124,FVFHSF000460001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
235,FVFHSL0006E0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
236,FVFHSL000650001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
237,FVFHSL0005T0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
238,FVFHSL0005Y0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
239,FVFHSL0005X0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
54,FVFHSL000570001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
55,FVFHSL000200001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
95,FVFHSL000410001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
96,FVFHSL0004A0001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
141,FVFHSF0003T0001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
142,FVFHSF0003Z0001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
174,FVFHSF0004P0001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
175,FVFHSF0004E0001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
199,FVFHSF0002V0001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
204,FVFHSF0001V0001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
205,FVFHSF000230001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
225,FVFHSF000170001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
226,FVFHSF0000R0001JYP,incoming,OPHS 40/90 72hrs,OPHS 40/90 168hrs,OPHS 40/90 336hrs,OPHS 40/90 504hrs,OPHS 40/90 720hrs,OPHS 40/90 1008hrs,5N manual pull test
14,FVFHSA000770001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
15,FVFHSA0006G0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
16,FVFHSA000700001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
17,FVFHSA0006L0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
18,FVFHSA0006W0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
31,FVFHSF0000J0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
32,FVFHSF0000H0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
33,FVFHSF0000N0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
38,FVFHSF0000S0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
44,FVFHSL0004T0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
46,FVFHSL000510001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
47,FVFHSL0004P0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
74,FVFHSL000400001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
75,FVFHSL0004H0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
76,FVFHSL0003Y0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
105,FVFHSF0001H0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
106,FVFHSF000220001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
125,FVFHSF000450001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
126,FVFHSF0003S0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
153,FVFHSF0004T0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
154,FVFHSF0004V0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
155,FVFHSF0004U0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
156,FVFHSF0004W0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
157,FVFHSF0004S0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
178,FVFHSF0002W0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
