Unit_No,SN,CP0,CP1,CP2,CP3,CP4,CP5,CP6,CP7
60,FVFHSL000580001JYP,incoming,THC 6cycs,THC 14cycs,5N manual pull test,,,,
63,FVFHSL000540001JYP,incoming,THC 6cycs,THC 14cycs,5N manual pull test,,,,
98,FVFHSL000430001JYP,incoming,THC 6cycs,THC 14cycs,5N manual pull test,,,,
145,FVFHSF0003X0001JYP,incoming,THC 6cycs,THC 14cycs,5N manual pull test,,,,
146,FVFHSF000440001JYP,incoming,THC 6cycs,THC 14cycs,5N manual pull test,,,,
208,FVFHSF000200001JYP,incoming,THC 6cycs,THC 14cycs,5N manual pull test,,,,
209,FVFHSF0001F0001JYP,incoming,THC 6cycs,THC 14cycs,5N manual pull test,,,,
228,FVFHSF000110001JYP,incoming,THC 6cycs,THC 14cycs,5N manual pull test,,,,
39,FVFHSL0005B0001JYP,incoming,Edge pick,Wipe test 1300cycs,Wipe test 2600cycs,AA cleaning T300(1500gf),AA cleaning T600(1500gf),AA cleaning T900(1500gf),AA cleaning T1200(1500gf)
40,FVFHSL0005D0001JYP,incoming,Edge pick,Wipe test 1300cycs,Wipe test 2600cycs,AA cleaning T300(2200gf),AA cleaning T600(2200gf),AA cleaning T900(2200gf),AA cleaning T1200(2200gf)
164,FVFHSF000490001JYP,incoming,Edge pick,Wipe test 1300cycs,Wipe test 2600cycs,AA cleaning T300(1500gf),AA cleaning T600(1500gf),AA cleaning T900(1500gf),AA cleaning T1200(1500gf)
165,FVFHSF0004N0001JYP,incoming,Edge pick,Wipe test 1300cycs,Wipe test 2600cycs,AA cleaning T300(1500gf),AA cleaning T600(1500gf),AA cleaning T900(1500gf),AA cleaning T1200(1500gf)
166,FVFHSF0004C0001JYP,incoming,Edge pick,Wipe test 1300cycs,Wipe test 2600cycs,AA cleaning T300(2200gf),AA cleaning T600(2200gf),AA cleaning T900(2200gf),AA cleaning T1200(2200gf)
167,FVFHSF0004B0001JYP,incoming,Edge pick,Wipe test 1300cycs,Wipe test 2600cycs,AA cleaning T300(2200gf),AA cleaning T600(2200gf),AA cleaning T900(2200gf),AA cleaning T1200(2200gf)
217,FVFHSF0003E0001JYP,incoming,Edge pick,Wipe test 1300cycs,Wipe test 2600cycs,AA cleaning T300(1500gf),AA cleaning T600(1500gf),AA cleaning T900(1500gf),AA cleaning T1200(1500gf)
218,FVFHSF0003D0001JYP,incoming,Edge pick,Wipe test 1300cycs,Wipe test 2600cycs,AA cleaning T300(2200gf),AA cleaning T600(2200gf),AA cleaning T900(2200gf),AA cleaning T1200(2200gf)
77,FVFHSL0003M0001JYP,incoming,CS Vaseline  Dwell 5 min,"CS Vaseline, HS 65/90 72hrs",T96hrs dwell,"CS Vaseline, HS 65/90 168hrs",5N manual pull test,,
78,FVFHSL0003R0001JYP,incoming,CS Vaseline  Dwell 5 min,"CS Vaseline, HS 65/90 72hrs",T96hrs dwell,"CS Vaseline, HS 65/90 168hrs",5N manual pull test,,
111,FVFHSF0001J0001JYP,incoming,CS Vaseline  Dwell 5 min,"CS Vaseline, HS 65/90 72hrs",T96hrs dwell,"CS Vaseline, HS 65/90 168hrs",5N manual pull test,,
112,FVFHSF0001U0001JYP,incoming,CS Vaseline  Dwell 5 min,"CS Vaseline, HS 65/90 72hrs",T96hrs dwell,"CS Vaseline, HS 65/90 168hrs",5N manual pull test,,
131,FVFHSF0003R0001JYP,incoming,CS Vaseline  Dwell 5 min,"CS Vaseline, HS 65/90 72hrs",T96hrs dwell,"CS Vaseline, HS 65/90 168hrs",5N manual pull test,,
183,FVFHSF0002Q0001JYP,incoming,CS Vaseline  Dwell 5 min,"CS Vaseline, HS 65/90 72hrs",T96hrs dwell,"CS Vaseline, HS 65/90 168hrs",5N manual pull test,,
184,FVFHSF000340001JYP,incoming,CS Vaseline  Dwell 5 min,"CS Vaseline, HS 65/90 72hrs",T96hrs dwell,"CS Vaseline, HS 65/90 168hrs",5N manual pull test,,
80,FVFHSL0003X0001JYP,incoming,CS Sunscreen  Dwell 5 min,"CS Sunscreen, HS 65/90 72hrs",T96hrs dwell,"CS Sunscreen, HS 65/90 168hrs",5N manual pull test,,
81,FVFHSL0004B0001JYP,incoming,CS Sunscreen  Dwell 5 min,"CS Sunscreen, HS 65/90 72hrs",T96hrs dwell,"CS Sunscreen, HS 65/90 168hrs",5N manual pull test,,
113,FVFHSF0001K0001JYP,incoming,CS Sunscreen  Dwell 5 min,"CS Sunscreen, HS 65/90 72hrs",T96hrs dwell,"CS Sunscreen, HS 65/90 168hrs",5N manual pull test,,
114,FVFHSF0001Y0001JYP,incoming,CS Sunscreen  Dwell 5 min,"CS Sunscreen, HS 65/90 72hrs",T96hrs dwell,"CS Sunscreen, HS 65/90 168hrs",5N manual pull test,,
132,FVFHSF0003J0001JYP,incoming,CS Sunscreen  Dwell 5 min,"CS Sunscreen, HS 65/90 72hrs",T96hrs dwell,"CS Sunscreen, HS 65/90 168hrs",5N manual pull test,,
185,FVFHSF0002T0001JYP,incoming,CS Sunscreen  Dwell 5 min,"CS Sunscreen, HS 65/90 72hrs",T96hrs dwell,"CS Sunscreen, HS 65/90 168hrs",5N manual pull test,,
186,FVFHSF000370001JYP,incoming,CS Sunscreen  Dwell 5 min,"CS Sunscreen, HS 65/90 72hrs",T96hrs dwell,"CS Sunscreen, HS 65/90 168hrs",5N manual pull test,,
84,FVFHSL0003W0001JYP,incoming,CS half IA + half Windex   Dwell 5 min,"CS half IA + half Windex, HS 65/90 72hrs",T96hrs dwell,"CS half IA + half Windex, HS 65/90 168hrs",5N manual pull test,,
87,FVFHSL0003N0001JYP,incoming,CS half IA + half Windex   Dwell 5 min,"CS half IA + half Windex, HS 65/90 72hrs",T96hrs dwell,"CS half IA + half Windex, HS 65/90 168hrs",5N manual pull test,,
115,FVFHSF0001R0001JYP,incoming,CS half IA + half Windex   Dwell 5 min,"CS half IA + half Windex, HS 65/90 72hrs",T96hrs dwell,"CS half IA + half Windex, HS 65/90 168hrs",5N manual pull test,,
116,FVFHSF000240001JYP,incoming,CS half IA + half Windex   Dwell 5 min,"CS half IA + half Windex, HS 65/90 72hrs",T96hrs dwell,"CS half IA + half Windex, HS 65/90 168hrs",5N manual pull test,,
133,FVFHSF0003M0001JYP,incoming,CS half IA + half Windex   Dwell 5 min,"CS half IA + half Windex, HS 65/90 72hrs",T96hrs dwell,"CS half IA + half Windex, HS 65/90 168hrs",5N manual pull test,,
187,FVFHSF000320001JYP,incoming,CS half IA + half Windex   Dwell 5 min,"CS half IA + half Windex, HS 65/90 72hrs",T96hrs dwell,"CS half IA + half Windex, HS 65/90 168hrs",5N manual pull test,,
188,FVFHSF0002Z0001JYP,incoming,CS half IA + half Windex   Dwell 5 min,"CS half IA + half Windex, HS 65/90 72hrs",T96hrs dwell,"CS half IA + half Windex, HS 65/90 168hrs",5N manual pull test,,
89,FVFHSL0003V0001JYP,incoming,CS  half Cucina + half Sebum with AA chemical stress  Dwell 5 min,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Cucina + half Sebum with AA chemical stress HS 65/90 168hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 336hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 504hrs,5N manual pull test
91,FVFHSL0004G0001JYP,incoming,CS  half Cucina + half Sebum with AA chemical stress  Dwell 5 min,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Cucina + half Sebum with AA chemical stress HS 65/90 168hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 336hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 504hrs,5N manual pull test
117,FVFHSF0001S0001JYP,incoming,CS  half Cucina + half Sebum with AA chemical stress  Dwell 5 min,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Cucina + half Sebum with AA chemical stress HS 65/90 168hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 336hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 504hrs,5N manual pull test
118,FVFHSF0001M0001JYP,incoming,CS  half Cucina + half Sebum with AA chemical stress  Dwell 5 min,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Cucina + half Sebum with AA chemical stress HS 65/90 168hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 336hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 504hrs,5N manual pull test
134,FVFHSF0003Y0001JYP,incoming,CS  half Cucina + half Sebum with AA chemical stress  Dwell 5 min,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Cucina + half Sebum with AA chemical stress HS 65/90 168hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 336hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 504hrs,5N manual pull test
189,FVFHSF0002M0001JYP,incoming,CS  half Cucina + half Sebum with AA chemical stress  Dwell 5 min,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Cucina + half Sebum with AA chemical stress HS 65/90 168hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 336hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 504hrs,5N manual pull test
190,FVFHSF0002R0001JYP,incoming,CS  half Cucina + half Sebum with AA chemical stress  Dwell 5 min,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Cucina + half Sebum with AA chemical stress HS 65/90 168hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 336hrs,CS  half Cucina + half Sebum with AA chemical stress HS 65/90 504hrs,5N manual pull test
92,FVFHSL0003P0001JYP,incoming,CS  half Sanitizer + half iKlear with AA chemical stress  Dwell 5 min,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 168hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 336hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 504hrs,5N manual pull test
94,FVFHSL0003S0001JYP,incoming,CS  half Sanitizer + half iKlear with AA chemical stress  Dwell 5 min,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 168hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 336hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 504hrs,5N manual pull test
119,FVFHSF000210001JYP,incoming,CS  half Sanitizer + half iKlear with AA chemical stress  Dwell 5 min,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 168hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 336hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 504hrs,5N manual pull test
120,FVFHSF000250001JYP,incoming,CS  half Sanitizer + half iKlear with AA chemical stress  Dwell 5 min,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 168hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 336hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 504hrs,5N manual pull test
135,FVFHSF000430001JYP,incoming,CS  half Sanitizer + half iKlear with AA chemical stress  Dwell 5 min,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 168hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 336hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 504hrs,5N manual pull test
191,FVFHSF000310001JYP,incoming,CS  half Sanitizer + half iKlear with AA chemical stress  Dwell 5 min,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 168hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 336hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 504hrs,5N manual pull test
192,FVFHSF0002P0001JYP,incoming,CS  half Sanitizer + half iKlear with AA chemical stress  Dwell 5 min,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 168hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 336hrs,CS  half Sanitizer + half iKlear with AA chemical stress HS 65/90 504hrs,5N manual pull test
99,FVFHSL0003T0001JYP,incoming,CS half Clorox + half OA/OO with AA chemical stress  Dwell 5 min,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS half Clorox + half OA/OO with AA chemical stress HS 65/90 168hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 336hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 504hrs,5N manual pull test
100,FVFHSL0003Q0001JYP,incoming,CS half Clorox + half OA/OO with AA chemical stress  Dwell 5 min,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS half Clorox + half OA/OO with AA chemical stress HS 65/90 168hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 336hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 504hrs,5N manual pull test
121,FVFHSF0001A0001JYP,incoming,CS half Clorox + half OA/OO with AA chemical stress  Dwell 5 min,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS half Clorox + half OA/OO with AA chemical stress HS 65/90 168hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 336hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 504hrs,5N manual pull test
122,FVFHSF0001D0001JYP,incoming,CS half Clorox + half OA/OO with AA chemical stress  Dwell 5 min,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS half Clorox + half OA/OO with AA chemical stress HS 65/90 168hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 336hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 504hrs,5N manual pull test
136,FVFHSF0003L0001JYP,incoming,CS half Clorox + half OA/OO with AA chemical stress  Dwell 5 min,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS half Clorox + half OA/OO with AA chemical stress HS 65/90 168hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 336hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 504hrs,5N manual pull test
193,FVFHSF000360001JYP,incoming,CS half Clorox + half OA/OO with AA chemical stress  Dwell 5 min,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS half Clorox + half OA/OO with AA chemical stress HS 65/90 168hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 336hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 504hrs,5N manual pull test
194,FVFHSF000350001JYP,incoming,CS half Clorox + half OA/OO with AA chemical stress  Dwell 5 min,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 72hrs,T96hrs dwell(only chemical sensitivity),CS half Clorox + half OA/OO with AA chemical stress HS 65/90 168hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 336hrs,CS half Clorox + half OA/OO with AA chemical stress HS 65/90 504hrs,5N manual pull test
45,FVFHSL0005A0001JYP,incoming,UV 700 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
49,FVFHSL0004X0001JYP,incoming,UV 700 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
50,FVFHSL0004W0001JYP,incoming,UV 700 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
168,FVFHSF0004G0001JYP,incoming,UV 700 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
169,FVFHSF0004A0001JYP,incoming,UV 700 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
170,FVFHSF0004J0001JYP,incoming,UV 700 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
219,FVFHSF000380001JYP,incoming,UV 700 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
220,FVFHSF0003B0001JYP,incoming,UV 700 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
221,FVFHSF0000W0001JYP,incoming,UV 700 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
56,FVFHSL0004Y0001JYP,incoming,UV 300 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
59,FVFHSL0004Z0001JYP,incoming,UV 300 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
171,FVFHSF0004H0001JYP,incoming,UV 300 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
172,FVFHSF0004M0001JYP,incoming,UV 300 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
223,FVFHSF000100001JYP,incoming,UV 300 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
231,FVFHSF0000V0001JYP,incoming,UV 300 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
61,FVFHSL000500001JYP,incoming,UV 100 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
173,FVFHSF0004F0001JYP,incoming,UV 100 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
224,FVFHSF0000Q0001JYP,incoming,UV 100 hrs(outdoor),AR abrasion ,5N manual pull test,,,,
86,FVFHSL000420001JYP,incoming,Abrex ,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,5N manual pull test,
88,FVFHSL000470001JYP,incoming,Abrex ,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,5N manual pull test,
137,FVFHSF000410001JYP,incoming,Abrex ,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,5N manual pull test,
138,FVFHSF0003N0001JYP,incoming,Abrex ,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,5N manual pull test,
195,FVFHSF0002Y0001JYP,incoming,Abrex ,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,5N manual pull test,
196,FVFHSF000300001JYP,incoming,Abrex ,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,5N manual pull test,
200,FVFHSF0001Z0001JYP,incoming,Abrex ,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,5N manual pull test,
201,FVFHSF0001N0001JYP,incoming,Abrex ,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,5N manual pull test,
90,FVFHSL000460001JYP,incoming,UV 120h,UV 240h,UV 360h,UV 480h,UV 600h,Abrex,5N manual pull test
93,FVFHSL0003U0001JYP,incoming,UV 120h,UV 240h,UV 360h,UV 480h,UV 600h,Abrex,5N manual pull test
139,FVFHSF000400001JYP,incoming,UV 120h,UV 240h,UV 360h,UV 480h,UV 600h,Abrex,5N manual pull test
140,FVFHSF000480001JYP,incoming,UV 120h,UV 240h,UV 360h,UV 480h,UV 600h,Abrex,5N manual pull test
197,FVFHSF0002X0001JYP,incoming,UV 120h,UV 240h,UV 360h,UV 480h,UV 600h,Abrex,5N manual pull test
198,FVFHSF0002S0001JYP,incoming,UV 120h,UV 240h,UV 360h,UV 480h,UV 600h,Abrex,5N manual pull test
202,FVFHSF0001W0001JYP,incoming,UV 120h,UV 240h,UV 360h,UV 480h,UV 600h,Abrex,5N manual pull test
203,FVFHSF0001T0001JYP,incoming,UV 120h,UV 240h,UV 360h,UV 480h,UV 600h,Abrex,5N manual pull test
64,FVFHSL0004U0001JYP,incoming,3G Z-4hrs,3G Z-8hrs,3G Z-10hrs,3G Z-12hrs,3G Z-16hrs,3G Z-20hrs,3G X-14hrs
65,FVFHSL000550001JYP,incoming,3G Z-4hrs,3G Z-8hrs,3G Z-10hrs,3G Z-12hrs,3G Z-16hrs,3G Z-20hrs,3G X-14hrs
101,FVFHSL000450001JYP,incoming,3G Z-4hrs,3G Z-8hrs,3G Z-10hrs,3G Z-12hrs,3G Z-16hrs,3G Z-20hrs,3G X-14hrs
102,FVFHSL0004D0001JYP,incoming,3G Z-4hrs,3G Z-8hrs,3G Z-10hrs,3G Z-12hrs,3G Z-16hrs,3G Z-20hrs,3G X-14hrs
147,FVFHSF000270001JYP,incoming,3G Z-4hrs,3G Z-8hrs,3G Z-10hrs,3G Z-12hrs,3G Z-16hrs,3G Z-20hrs,3G X-14hrs
148,FVFHSF000420001JYP,incoming,3G Z-4hrs,3G Z-8hrs,3G Z-10hrs,3G Z-12hrs,3G Z-16hrs,3G Z-20hrs,3G X-14hrs
229,FVFHSF000180001JYP,incoming,3G Z-4hrs,3G Z-8hrs,3G Z-10hrs,3G Z-12hrs,3G Z-16hrs,3G Z-20hrs,3G X-14hrs
230,FVFHSF0000X0001JYP,incoming,3G Z-4hrs,3G Z-8hrs,3G Z-10hrs,3G Z-12hrs,3G Z-16hrs,3G Z-20hrs,3G X-14hrs
62,FVFHSL000560001JYP,incoming,Stylus ,5N manual pull test,,,,,
67,FVFHSL0005G0001JYP,incoming,Stylus ,5N manual pull test,,,,,
149,FVFHSF000290001JYP,incoming,Stylus ,5N manual pull test,,,,,
150,FVFHSF0002A0001JYP,incoming,Stylus ,5N manual pull test,,,,,
222,FVFHSF0000Y0001JYP,incoming,Stylus ,5N manual pull test,,,,,
232,FVFHSF000140001JYP,incoming,Stylus ,5N manual pull test,,,,,
